burnIn   <= 2703000,   maxState  = 27030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
posterior	-43967.3385	20.9541	-43966.5387	-44011.7949	-43928.9936	145.2228	-43979.9416	-43952.583	
likelihood	-44287.5154	11.0244	-44286.9021	-44308.1289	-44265.9537	119.8552	-44292.9195	-44278.7633	
prior	320.1769	18.5364	320.6346	283.5691	354.8212	271.1476	310.0557	334.808	
treeLikelihood	-44287.5154	11.0244	-44286.9021	-44308.1289	-44265.9537	119.8552	-44292.9195	-44278.7633	
TreeHeight	0.2744	0.0224	0.2726	0.2374	0.3217	1078.3661	0.2554	0.284	
gammaShape	0.0728	0.0563	0.0606	1.1008E-3	0.1787	1079.8154	2.2266E-3	0.0616	
kappa	6.5378	0.8252	6.4742	5.039	8.1798	2162.5119	5.9457	7.0266	
originBDMMPrime	0.3146	0.0387	0.3088	0.253	0.3981	1828.4476	0.2786	0.3242	
R0SVFrance	4.0262	0.4068	4.004	3.2548	4.8111	238.5279	3.7044	4.241	
R0SVGermany	3.4575	0.4027	3.4523	2.7086	4.2556	140.9107	3.1556	3.7041	
R0SVHubei-China	1.7853	0.0905	1.7844	1.6087	1.9589	662.2408	1.7158	1.835	
R0SVItaly	3.3693	0.2508	3.3523	2.9223	3.8975	89.7039	3.1732	3.4913	*
R0SVOtherEuropean	3.3831	0.5657	3.4402	2.2481	4.4692	147.3754	3.2262	3.9331	
R0SVSpain	4.3715	0.3949	4.3535	3.5954	5.129	266.1089	4.0279	4.5409	
R0AmongDemesSM	0	0	0	0	0	10000	0	0	
becomeUninfectiousRateSV	36.5	0	0	0	0	10000	0	0	
migrationRateSMFrance_to_Germany	0.876	0.6831	0.6865	0.0452	2.2433	1154.965	0.169	0.7427	
migrationRateSMFrance_to_Hubei-China	0	0	0	0	0	10000	0	0	
migrationRateSMFrance_to_Italy	1.0528	1.0265	0.7414	0.0578	3.0002	936.0117	0.1211	0.7833	
migrationRateSMFrance_to_OtherEuropean	7.9196	5.0483	6.7078	0.6483	18.2418	279.2112	3.1062	7.8078	
migrationRateSMFrance_to_Spain	0.7357	0.5709	0.5826	0.0551	1.7972	659.861	0.1267	0.6182	
migrationRateSMGermany_to_France	1.2224	0.9296	0.9812	0.0711	2.9437	783.1589	0.2362	1.0602	
migrationRateSMGermany_to_Hubei-China	0	0	0	0	0	10000	0	0	
migrationRateSMGermany_to_Italy	1.6466	1.6046	1.151	0.0224	4.6013	731.8508	0.1724	1.2218	
migrationRateSMGermany_to_OtherEuropean	1.0968	1.2829	0.7427	0.0622	3.1258	961.5303	0.1192	0.7724	
migrationRateSMGermany_to_Spain	0.6791	0.5742	0.5276	0.0355	1.771	1074.5107	0.1408	0.5799	
migrationRateSMHubei-China_to_France	0.0617	0.0296	0.0563	0.0162	0.1189	898.5362	0.0324	0.0657	
migrationRateSMHubei-China_to_Germany	0.068	0.0324	0.0617	0.0169	0.1306	916.7654	0.0388	0.075	
migrationRateSMHubei-China_to_Italy	0.0739	0.0388	0.0664	0.0118	0.1476	1178.1361	0.0324	0.075	
migrationRateSMHubei-China_to_OtherEuropean	0.0868	0.0471	0.0762	0.0167	0.173	444.6416	0.045	0.0917	
migrationRateSMHubei-China_to_Spain	0.0595	0.0298	0.0541	0.0123	0.1134	628.1162	0.029	0.0606	
migrationRateSMItaly_to_France	0.829	0.4519	0.7373	0.1586	1.6738	273.8069	0.3388	0.823	
