burnIn   <= 2700300,   maxState  = 27003000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
posterior	-43989.5576	21.1736	-43988.6302	-44032.1098	-43948.7021	147.397	-44002.2608	-43973.963	
likelihood	-44289.3679	11.5001	-44288.7268	-44312.5719	-44267.7774	91.6991	-44294.8512	-44279.6935	*
prior	299.8103	18.7115	299.9304	262.7913	336.4429	205.6441	288.2086	313.1632	
treeLikelihood	-44289.3679	11.5001	-44288.7268	-44312.5719	-44267.7774	91.6991	-44294.8512	-44279.6935	*
TreeHeight	0.269	0.0216	0.2664	0.2306	0.3127	1795.1544	0.2481	0.2749	
gammaShape	0.0718	0.0592	0.0584	1.0056E-3	0.1865	1539.1106	1.0017E-3	0.0584	
kappa	6.4906	0.866	6.4361	4.8499	8.1606	4062.6203	5.7884	6.9178	
originBDMMPrime	0.3101	0.0374	0.305	0.2443	0.3822	7861.5636	0.2731	0.3193	
R0SVFrance	3.6764	0.3557	3.6629	3.0007	4.3914	372.1483	3.4036	3.8772	
R0SVGermany	3.1579	0.3018	3.1479	2.5778	3.7441	745.003	2.9303	3.3329	
R0SVHubei-China	1.5794	0.0772	1.5784	1.4278	1.729	1107.5244	1.5187	1.6216	
R0SVItaly	3.5882	0.2197	3.5753	3.1775	4.0289	175.0081	3.4172	3.7	
R0SVOtherEuropean	3.8009	0.3162	3.7885	3.1802	4.4288	402.1035	3.5707	3.9835	
R0SVSpain	4.0277	0.3391	4.0127	3.3895	4.7003	743.3773	3.808	4.2621	
R0AmongDemesSM	0	0	0	0	0	1000	0	0	
becomeUninfectiousRateSV	36.5	0	0	0	0	1000	0	0	
migrationRateSM_i0_endtime	0.1901	0.0374	0.185	0.1243	0.2622	7861.5636	0.1531	0.1993	
migrationRateSMi0_France_to_Germany	1.3995	0.076	1.3984	1.2534	1.551	370.7001	1.347	1.4495	
migrationRateSMi0_France_to_Hubei-China	0.7305	0.0375	0.7291	0.6587	0.8047	370.1956	0.7021	0.7523	
migrationRateSMi0_France_to_Italy	1.6168	0.1253	1.6135	1.3803	1.8705	371.3247	1.5159	1.6847	
migrationRateSMi0_France_to_OtherEuropean	3.1578	0.583	3.1122	2.0523	4.2976	376.5709	2.6835	3.4476	
migrationRateSMi0_France_to_Spain	1.7388	0.1551	1.7338	1.435	2.0411	371.7083	1.6137	1.822	
migrationRateSMi0_Germany_to_France	1.3647	0.0686	1.3638	1.2325	1.501	370.6099	1.3174	1.4099	
migrationRateSMi0_Germany_to_Hubei-China	0.7293	0.0377	0.7278	0.6572	0.8038	370.1993	0.7007	0.7511	
migrationRateSMi0_Germany_to_Italy	1.708	0.1474	1.7035	1.4259	2.0023	371.6098	1.5891	1.7873	
migrationRateSMi0_Germany_to_OtherEuropean	4.2057	0.9696	4.1091	2.4471	6.1407	379.984	3.3851	4.6343	
migrationRateSMi0_Germany_to_Spain	2.2994	0.3079	2.2828	1.7154	2.912	373.6068	2.0497	2.4592	
migrationRateSMi0_Hubei-China_to_France	0.7421	0.0362	0.7407	0.6727	0.8136	370.162	0.7146	0.7631	
migrationRateSMi0_Hubei-China_to_Germany	0.7343	0.0371	0.7329	0.6633	0.8076	370.1842	0.7062	0.7558	
migrationRateSMi0_Hubei-China_to_Italy	0.5049	0.057	0.501	0.3992	0.6194	371.6703	0.457	0.532	
migrationRateSMi0_Hubei-China_to_OtherEuropean	1.1755	0.0308	1.1755	1.1169	1.2374	370.1901	1.1551	1.1966	
migrationRateSMi0_Hubei-China_to_Spain	0.3331	0.0612	0.3269	0.2221	0.4557	374.9718	0.2772	0.3556	
migrationRateSMi0_Italy_to_France	1.6414	0.1312	1.6379	1.3943	1.9075	371.4007	1.5357	1.7124	
migrationRateSMi0_Italy_to_Germany	1.7156	0.1493	1.7111	1.4226	2.0063	371.6342	1.5952	1.7959	
migrationRateSMi0_Italy_to_Hubei-China	0.5367	0.0551	0.5332	0.4337	0.6467	371.3345	0.4904	0.5631	
migrationRateSMi0_Italy_to_OtherEuropean	3.4587	0.6889	3.4002	2.1706	4.8148	377.5796	2.898	3.7966	
migrationRateSMi0_Italy_to_Spain	1.9714	0.2155	1.9624	1.5565	2.3965	372.4782	1.7971	2.0854	
migrationRateSMi0_OtherEuropean_to_France	3.2712	0.6224	3.2209	2.0974	4.4913	376.9535	2.7648	3.579	
migrationRateSMi0_OtherEuropean_to_Germany	4.2612	0.9913	4.1616	2.4669	6.2415	380.157	3.4224	4.6985	
migrationRateSMi0_OtherEuropean_to_Hubei-China	1.1911	0.0338	1.1911	1.127	1.259	370.2193	1.1687	1.2143	
migrationRateSMi0_OtherEuropean_to_Italy	3.487	0.6991	3.4271	2.1814	4.8639	377.6731	2.918	3.8294	
migrationRateSMi0_OtherEuropean_to_Spain	4.5155	1.0926	4.4011	2.4925	6.6418	380.9388	3.4738	4.8747	
migrationRateSMi0_Spain_to_France	1.8138	0.174	1.8077	1.4748	2.1544	371.952	1.6732	1.9067	
migrationRateSMi0_Spain_to_Germany	2.314	0.3122	2.2971	1.7224	2.9355	373.6575	2.0608	2.4759	
migrationRateSMi0_Spain_to_Hubei-China	0.3425	0.0613	0.3364	0.2309	0.465	374.694	0.2865	0.3652	
migrationRateSMi0_Spain_to_Italy	1.9635	0.2133	1.9546	1.5524	2.3842	372.4513	1.7909	2.0764	
migrationRateSMi0_Spain_to_OtherEuropean	4.466	1.0727	4.3545	2.4762	6.5521	380.7879	3.5589	4.9354	
migrationRateSM_i1_endtime	0.2901	0.0374	0.285	0.2243	0.3622	7861.5636	0.2531	0.2993	
migrationRateSMi1_France_to_Germany	1.4688	0.0912	1.4672	1.2946	1.6516	370.8891	1.4057	1.5287	
migrationRateSMi1_France_to_Hubei-China	0.3557	0.0613	0.3498	0.2454	0.48	374.3309	0.2996	0.3786	
migrationRateSMi1_France_to_Italy	1.6302	0.1285	1.6267	1.3879	1.8906	371.3658	1.5266	1.6997	
migrationRateSMi1_France_to_OtherEuropean	3.3594	0.6535	3.3053	2.132	4.6429	377.249	2.8276	3.6812	
